,,,,,,,,,,,,,,
아래의 표는 Rx Module이 Rx Bluetooth 통신 모듈로 부터 수신하는 SPI통신의 Packet을 간략히 요약하였음.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2. 세부정보 (Rx Bluetooth 통신 모듈(Slave) → Rx Module(Master)) : Tx Module이 보낸 Data를 Bluetooth 통신 모듈을 통해 Rx Module이 최종적으로 수신함.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Num,,Header,,Message Item,,,,,Remark,,,,,
1,, 0x10,,Tx Module의 상태 및 운용에 대한 정보 ,,,,,Bluetooth 통신 모듈 → Rx Module ,,,,,
2,, 0x11,,Tx Module의 입력측 Analog Level에 대한 정보,,,,,Bluetooth 통신 모듈 → Rx Module ,,,,,
3,, 0x12,,"Tx Module의 출력측 Analog Level 정보, 전력소자 주변의 온도 정보",,,,,Bluetooth 통신 모듈 → Rx Module ,,,,,
,,,,,,,,,,,,,,
2.1. Header (0x10) ,,,,,,,,,,,,,,
▶ Data Handle : Bluetooth 통신 모듈로 부터 수신한 Tx Module의 시스템 상태 및 운용 정보,,,,,,,,,,,,,,
▶ Transmission Mode : Cyclic / 10[ms] ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
구성,,,Bit.7,Bit.6,Bit.5,Bit.4,Bit.3,Bit.2,Bit.1,Bit.0,,,,
HDR? (Header) : 0x10,,,0,0,0,1,0,0,0,0,,,0,Start Bit
Data Length : 0x08,,,0,0,0,0,1,0,0,0,,,8,Start Bit
Data Buffer[0] : 시스템 상태,,,Spare,BLE_Comm_St,SPI_Comm_St,Rx_Flt_Rst_Cmd,Tx_Fault_St,Tx_Warning_St,Tx_Sys_Rdy_St,Tx_Sys_Init_St,,,16,Start Bit
Data Buffer[1] : Rx 입력측,,,Spare,,,,TxIbus_OC,TxVbus_UpperLmt,TxVbus_LowerLmt,TxVbus_Steady_St,,,24,Start Bit
Data Buffer[2] : Rx 출력측,,,Spare,,,TxIout_Upper_Lmt,TxCtrl_Lmt_St,TxVout_SetPoint_St,TxNo_Load_St,TxBuck_RunStop_St,,,32,Start Bit
Data Buffer[3],,,Spare (Byte),,,,,,,,,,40,Start Bit
Data Buffer[4],,,Spare (Byte),,,,,,,,,,48,Start Bit
Data Buffer[5],,,Spare (Byte),,,,,,,,,,56,Start Bit
Data Buffer[6],,,F/W Version (0x0100 → Ver1.00),,,,,,,,,,64,Start Bit
Data Buffer[7],,,Spare (Byte),,,,,,,,,,72,Start Bit
CRC (CheckSum),,,CheckSum Data,,,,,,,,,,80,Start Bit
,,,,,,,,,,,,,,
Description (Header : 0x50),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Data Buffer[0] - Bit.0,,,,,,,,,,,,
,,명칭,,,설정값,세부설명,,,,,,,,
,,"System Init.ialzation Status
(Tx_Sys_Init_St)",,,0,Tx Module의 시스템 초기화가 완료 안됐음.,,,,,,,,
,,,,,1,Tx Module의 시스템 초기화가 완료 되었음.,,,,,,,,
,,,,,,,,,,,,,,
,,,[Edit Variables],,,,,,,,,,,
,,,Start Bit,Data Type,Byte Order,Bit Length,Factor,Offset,Uint,,,,,
,,,16,Uint16,Motorola,1,1,0,-,,,,,
,,,,,,,,,,,,,,
,,Data Buffer[0] - Bit.1,,,,,,,,,,,,
,,명칭,,,설정값,세부설명,,,,,,,,
,,"System Ready Status
(Tx_Sys_Rdy_St)",,,0,Tx Module이 출력을 낼 준비가 안됐음.,,,,,,,,
,,,,,1,Tx Module이 출력을 낼 준비가 되었음.,,,,,,,,
,,,,,,,,,,,,,,
,,,[Edit Variables],,,,,,,,,,,
,,,Start Bit,Data Type,Byte Order,Bit Length,Factor,Offset,Uint,,,,,
,,,17,Uint16,Motorola,1,1,0,-,,,,,
,,,,,,,,,,,,,,
,,Data Buffer[0] - Bit.2,,,,,,,,,,,,
,,명칭,,,설정값,세부설명,,,,,,,,
,,"System Waring
(Tx_Warning_St)",,,0,Tx Module System이 정상적으로 운용되고 있음.,,,,,,,,
,,,,,1,Tx Module System이 Warning 상태로 전환 됐음.,,,,,,,,
,,,,,,,,,,,,,,
,,,[Edit Variables],,,,,,,,,,,
,,,Start Bit,Data Type,Byte Order,Bit Length,Factor,Offset,Uint,,,,,
,,,18,Uint16,Motorola,1,1,0,-,,,,,
,,,,,,,,,,,,,,
,,Data Buffer[0] - Bit.3,,,,,,,,,,,,
,,명칭,,,설정값,세부설명,,,,,,,,
,,"System State Fault
(Tx_Fault_St)",,,0,Tx Module System이 정상적으로 운용되고 있음.,,,,,,,,
,,,,,1,Tx Module System이 Fault 상태로 전환 됐음.,,,,,,,,
,,,,,,,,,,,,,,
,,,[Edit Variables],,,,,,,,,,,
,,,Start Bit,Data Type,Byte Order,Bit Length,Factor,Offset,Uint,,,,,
,,,19,Uint16,Motorola,1,1,0,-,,,,,
,,,,,,,,,,,,,,
,,Data Buffer[0] - Bit.4,,,,,,,,,,,,
,,명칭,,,설정값,세부설명,,,,,,,,
,,"Fault Reset Command
(Rx_Flt_Rst_Cmd)",,,0,"Rx Moulde에 Fault 발생이 없을 경우, Low 상태를 유지",,,,,,,,
,,,,,1,Rx Moulde에서 발생한 Fault를 Reset 하는 지령 : High (200ms이후) → Low,,,,,,,,
,,,,,,,,,,,,,,
,,,[Edit Variables],,,,,,,,,,,
,,,Start Bit,Data Type,Byte Order,Bit Length,Factor,Offset,Uint,,,,,
,,,20,Uint16,Motorola,1,1,0,-,,,,,
,,,,,,,,,,,,,,
,,Data Buffer[0] - Bit.5,,,,,,,,,,,,
,,명칭,,,설정값,세부설명,,,,,,,,
,,"SPI Comm State 
(SPI_Comm_St)",,,0 ↔ 1,SPI 통신상태를 확인하기 위한 Bit (Bluetooth 모듈에서 신호를 생성),,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,[Edit Variables],,,,,,,,,,,
