,,,,,,,,
1. 개요 및 구성 ,,,,,,,,
상위 제어기(Tx / Rx Control Board : Master)에서 SPI통신 기반의 BLE Module (Bluethooth통신 모듈 : Slave)을 통해 송?수신측의 상태 및 동작 정보를 ,,,,,,,,
상대물에 제공하여 무선전력 전송 제어할 수 있도록 장치를 구성하였음.,,,,,,,,
,,,,,,,,
[SPI통신 환경],,,,,,,,
"4선 통신 방식이며, 9.0[Mbps] Baud Rate 로 통신 설정을 합니다.",,,,,,,,
,,,,,,,,
1.1. CN4 커넥터 구성 (관리자 통신용 전원),,,,,,,,
Pin Number,Description,,,,,,,
"1, 2, 3",+5VDC (절연전원),,,,,,,
"4, 5, 6",GND (절연전원),,,,,,,
,,,,,,,,
1.2. CN3 커넥터 구성 (SPI 통신용),,,,,,,,
Pin Number,Description,,,,,,,
"1, 2",+3.3VDC (비절연 전원),,,,,,,
3,SPI CS (Low Active),,,,,,,
4,N.C,,,,,,,
5,SPI MISO (Data전송 : S→M),,,,,,,
6,N.C,,,,,,,
7,SPI MOSI  (Data전송 : M→S),,,,,,,
8,SPI Clock (Master 생성 클럭),,,,,,,
"9, 10",GND (비절연 전원),,,,,,,
,,,,,,,,
,,,,,,,,
2. SPI통신 Packet ,,,,,,,,
,,,,,,,,
1[Byte?],1[Byte?],8[Byte] (uint형?),,,1[Byte?],,,
① HDR?,② Length?,③ Data[0]?,…?,Data[7]?,④ CRC?,,,
,,,,,,,,
항목, 크기,비트범위,설명,,비고,,,
 ① HDR (Header),1[Byte], [Bit 0..7],명령어 종류 구분 및 패킷의 시작,,,,,
 ② Length,1[Byte], [Bit 8..15],데이터 필드의 길이 (고정값 : 0x08),,,,,
 ③ Data Buffer,8[Byte], [Bit 16..79],실제 전송할 데이터 크기 ,,,,,
 ④ CRC (CheckSum),1[Byte], [Bit 80..87], HDR부터 Data[7]까지 CheckSum 값,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
