Time [s],Channel 0,Channel 1
0.000000000,0,0
0.000003446,1,0
0.000003460,1,1
0.000003764,1,0
0.000008926,0,0
0.000015206,1,1
0.000015508,1,0
0.000020686,0,0
0.000026966,1,0
0.000026996,1,1
0.000027300,1,0
0.000032446,0,0
0.000038710,0,1
0.000038726,1,1
0.000039014,1,0
0.000044206,0,0
0.000050486,1,0
0.000050676,1,1
0.000050980,1,0
0.000055966,0,0
0.000062226,0,1
0.000062248,1,1
0.000062530,1,0
0.000067728,0,0
0.000074008,1,0
0.000074036,1,1
0.000074340,1,0
0.000079488,0,0
0.000085722,0,1
0.000085768,1,1
0.000086026,1,0
0.000091248,0,0
0.000097518,0,1
0.000097528,1,1
0.000097820,1,0
0.000103008,0,0
0.000109278,0,1
0.000109288,1,1
0.000109582,1,0
0.000114768,0,0
0.000121022,0,1
0.000121048,1,1
0.000121326,1,0
0.000126528,0,0
0.000132810,1,0
0.000132898,1,1
0.000133202,1,0
0.000138290,0,0
0.000144538,0,1
0.000144570,1,1
0.000144842,1,0
0.000150050,0,0
0.000156330,1,0
0.000156464,1,1
0.000156768,1,0
0.000161810,0,0
0.000168028,0,1
0.000168090,1,1
0.000168332,1,0
0.000173570,0,0
0.000179834,0,1
0.000179850,1,1
0.000180138,1,0
0.000185330,0,0
0.000191564,0,1
0.000191610,1,1
0.000191868,1,0
0.000197090,0,0
0.000203370,0,1
0.000203372,1,1
0.000203674,1,0
0.000208850,0,0
0.000215132,1,0
0.000215216,1,1
0.000215518,1,0
0.000220612,0,0
0.000226892,1,0
0.000226926,1,1
0.000227230,1,0
0.000232372,0,0
0.000238652,1,0
0.000238696,1,1
0.000239000,1,0
0.000244132,0,0
0.000250392,0,1
0.000250412,1,1
0.000250696,1,0
0.000255892,0,0
0.000262172,1,0
0.000262262,1,1
0.000262566,1,0
0.000267652,0,0
0.000273912,0,1
0.000273934,1,1
0.000274216,1,0
0.000279412,0,0
0.000285692,1,0
0.000285722,1,1
0.000286026,1,0
0.000291172,0,0
0.000297454,1,0
0.000297468,1,1
0.000297772,1,0
0.000302934,0,0
0.000309214,1,1
0.000309516,1,0
0.000314694,0,0
0.000320974,1,0
0.000321004,1,1
0.000321308,1,0
0.000326454,0,0
0.000332734,1,0
0.000332754,1,1
0.000333058,1,0
0.000338214,0,0
0.000344494,1,0
0.000344528,1,1
0.000344832,1,0
0.000349974,0,0
0.000356234,0,1
0.000356254,1,1
0.000356538,1,0
0.000361734,0,0
0.000368016,1,0
0.000368120,1,1
0.000368424,1,0
0.000373496,0,0
0.000379754,0,1
0.000379776,1,1
0.000380058,1,0
0.000385256,0,0
0.000391536,1,0
0.000391544,1,1
0.000391848,1,0
0.000397016,0,0
0.000403296,1,0
0.000403310,1,1
0.000403614,1,0
0.000408776,0,0
0.000415056,0,1
0.000415058,1,1
0.000415360,1,0
0.000420536,0,0
0.000426816,1,0
0.000426846,1,1
0.000427150,1,0
0.000432296,0,0
0.000438576,1,0
0.000438586,1,1
0.000438890,1,0
0.000444056,0,0
0.000450338,1,0
0.000450366,1,1
0.000450670,1,0
0.000455818,0,0
0.000462062,0,1
0.000462098,1,1
0.000462366,1,0
0.000467578,0,0
0.000473858,1,0
0.000473938,1,1
0.000474240,1,0
0.000479338,0,0
0.000485618,1,1
0.000485922,1,0
0.000491098,0,0
0.000497378,0,1
0.000497380,1,1
0.000497682,1,0
0.000502858,0,0
0.000509138,0,1
0.000509140,1,1
0.000509442,1,0
0.000514620,0,0
0.000520878,0,1
0.000520900,1,1
0.000521182,1,0
0.000526380,0,0
0.000532658,0,1
0.000532660,1,1
0.000532962,1,0
0.000538140,0,0
0.000544420,1,0
0.000544428,1,1
0.000544734,1,0
0.000549900,0,0
0.000556180,1,0
0.000556234,1,1
0.000556538,1,0
0.000561660,0,0
0.000567890,0,1
0.000567940,1,1
0.000568194,1,0
0.000573420,0,0
0.000579700,0,1
0.000579702,1,1
0.000580004,1,0
0.000585180,0,0
0.000591460,0,1
0.000591462,1,1
0.000591764,1,0
0.000596942,0,0
0.000603222,1,0
0.000603240,1,1
0.000603544,1,0
0.000608702,0,0
0.000614972,0,1
0.000614982,1,1
0.000615274,1,0
0.000620462,0,0
0.000626742,1,0
0.000626750,1,1
0.000627056,1,0
0.000632222,0,0
0.000638502,1,0
0.000638592,1,1
0.000638896,1,0
0.000643982,0,0
0.000650242,0,1
0.000650262,1,1
0.000650546,1,0
0.000655742,0,0
0.000662022,1,0
0.000662052,1,1
0.000662356,1,0
0.000667502,0,0
0.000673742,0,1
0.000673784,1,1
0.000674046,1,0
0.000679264,0,0
0.000685528,0,1
0.000685544,1,1
0.000685832,1,0
0.000691024,0,0
0.000697294,0,1
0.000697304,1,1
0.000697598,1,0
0.000702784,0,0
0.000709038,0,1
0.000709064,1,1
0.000709342,1,0
0.000714544,0,0
0.000720824,1,0
0.000720830,1,1
0.000721132,1,0
0.000726304,0,0
0.000732574,0,1
0.000732584,1,1
0.000732878,1,0
0.000738064,0,0
0.000744346,1,0
0.000744524,1,1
0.000744828,1,0
0.000749824,0,0
0.000756060,0,1
0.000756106,1,1
0.000756364,1,0
0.000761586,0,0
0.000767866,1,0
0.000767894,1,1
0.000768198,1,0
0.000773346,0,0
0.000779600,0,1
0.000779626,1,1
0.000779904,1,0
0.000785106,0,0
0.000791386,1,0
0.000791390,1,1
0.000791694,1,0
0.000796866,0,0
0.000803120,0,1
0.000803146,1,1
0.000803424,1,0
0.000808626,0,0
0.000814882,0,1
0.000814908,1,1
0.000815186,1,0
0.000820386,0,0
0.000826668,1,0
0.000826672,1,1
0.000826976,1,0
0.000832148,0,0
0.000838412,0,1
0.000838428,1,1
0.000838716,1,0
0.000843908,0,0
0.000850188,1,0
0.000850336,1,1
0.000850640,1,0
0.000855668,0,0
0.000861948,1,0
0.000862032,1,1
0.000862336,1,0
0.000867428,0,0
0.000873672,0,1
0.000873708,1,1
0.000873976,1,0
0.000879188,0,0
0.000885468,0,1
0.000885470,1,1
0.000885772,1,0
0.000890948,0,0
0.000897204,0,1
0.000897230,1,1
0.000897508,1,0
0.000902710,0,0
0.000908990,1,1
0.000909292,1,0
0.000914470,0,0
0.000920750,1,0
0.000920778,1,1
0.000921082,1,0
0.000926230,0,0
0.000932494,0,1
0.000932510,1,1
0.000932798,1,0
0.000937990,0,0
0.000944270,1,0
0.000944450,1,1
0.000944754,1,0
0.000949750,0,0
0.000956010,0,1
0.000956032,1,1
0.000956314,1,0
0.000961510,0,0
0.000967792,1,0
0.000967886,1,1
0.000968188,1,0
0.000973270,0,0
0.000979530,0,1
0.000979552,1,1
0.000979834,1,0
0.000985032,0,0
0.000991312,1,0
0.000991320,1,1
0.000991624,1,0
0.000996792,0,0
0.001003062,0,1
0.001003072,1,1
0.001003366,1,0
0.001008552,0,0
0.001014806,0,1
0.001014832,1,1
0.001015110,1,0
0.001020312,0,0
0.001026592,1,0
0.001026598,1,1
0.001026900,1,0
0.001032072,0,0
0.001038338,0,1
0.001038354,1,1
0.001038642,1,0
0.001043834,0,0
0.001050114,1,0
0.001050128,1,1
0.001050432,1,0
0.001055594,0,0
0.001061828,0,1
0.001061874,1,1
0.001062132,1,0
0.001067354,0,0
0.001073634,1,0
0.001073658,1,1
0.001073962,1,0
0.001079114,0,0
0.001085358,0,1
0.001085394,1,1
0.001085662,1,0
0.001090874,0,0
0.001097134,0,1
0.001097154,1,1
0.001097438,1,0
0.001102634,0,0
0.001108894,0,1
0.001108916,1,1
0.001109198,1,0
0.001114394,0,0
0.001120650,0,1
0.001120676,1,1
0.001120954,1,0
0.001126156,0,0
0.001132436,1,0
0.001132464,1,1
0.001132768,1,0
0.001137916,0,0
0.001144166,0,1
0.001144196,1,1
0.001144468,1,0
0.001149676,0,0
0.001155956,1,0
0.001156096,1,1
0.001156398,1,0
0.001161436,0,0
0.001167670,0,1
0.001167716,1,1
0.001167974,1,0
0.001173196,0,0
0.001179436,0,1
0.001179476,1,1
0.001179740,1,0
0.001184956,0,0
0.001191196,0,1
0.001191238,1,1
0.001191500,1,0
0.001196716,0,0
0.001202972,0,1
0.001202998,1,1
0.001203276,1,0
0.001208478,0,0
0.001214758,1,0
0.001214832,1,1
0.001215136,1,0
0.001220238,0,0
0.001226472,0,1
0.001226518,1,1
0.001226776,1,0
0.001231998,0,0
0.001238278,1,0
0.001238286,1,1
0.001238592,1,0
0.001243758,0,0
0.001250002,0,1
0.001250038,1,1
0.001250306,1,0
0.001255518,0,0
0.001261728,0,1
0.001261798,1,1
0.001262032,1,0
0.001267278,0,0
0.001273548,0,1
0.001273558,1,1
0.001273852,1,0
0.001279038,0,0
0.001285314,0,1
0.001285318,1,1
0.001285618,1,0
0.001290800,0,0
0.001297080,1,0
0.001297104,1,1
0.001297408,1,0
0.001302560,0,0
0.001308794,0,1
0.001308840,1,1
0.001309098,1,0
0.001314320,0,0
0.001320600,1,0
0.001320640,1,1
0.001320944,1,0
0.001326080,0,0
0.001332316,0,1
0.001332360,1,1
0.001332618,1,0
0.001337840,0,0
0.001344080,0,1
0.001344122,1,1
0.001344384,1,0
0.001349602,0,0
0.001355836,0,1
0.001355882,1,1
0.001356140,1,0
0.001361362,0,0
0.001367642,1,1
0.001367944,1,0
0.001373122,0,0
0.001379402,1,0
0.001379452,1,1
0.001379756,1,0
0.001384882,0,0
0.001391142,0,1
0.001391162,1,1
0.001391446,1,0
0.001396642,0,0
0.001402922,1,0
0.001402962,1,1
0.001403266,1,0
0.001408402,0,0
0.001414656,0,1
0.001414682,1,1
0.001414960,1,0
0.001420162,0,0
0.001426402,0,1
0.001426444,1,1
0.001426706,1,0
0.001431922,0,0
0.001438158,0,1
0.001438204,1,1
0.001438462,1,0
0.001443684,0,0
0.001449938,0,1
0.001449964,1,1
0.001450242,1,0
0.001455444,0,0
0.001461724,1,0
0.001461784,1,1
0.001462088,1,0
0.001467204,0,0
0.001473438,0,1
0.001473484,1,1
0.001473742,1,0
0.001478964,0,0
0.001485244,1,0
0.001485248,1,1
0.001485552,1,0
0.001490724,0,0
0.001496970,0,1
0.001497006,1,1
0.001497274,1,0
0.001502486,0,0
0.001508724,0,1
0.001508766,1,1
0.001509028,1,0
0.001514246,0,0
0.001520514,0,1
0.001520526,1,1
0.001520818,1,0
0.001526006,0,0
0.001532280,0,1
0.001532286,1,1
0.001532584,1,0
0.001537766,0,0
0.001544046,1,0
0.001544140,1,1
0.001544444,1,0
0.001549526,0,0
0.001555786,0,1
0.001555806,1,1
0.001556090,1,0
0.001561286,0,0
0.001567566,1,0
0.001567750,1,1
0.001568054,1,0
0.001573046,0,0
0.001579282,0,1
0.001579328,1,1
0.001579584,1,0
0.001584808,0,0
