Time [s],Channel 2,Channel 3
0.000000000,0,1
0.000003754,0,0
0.000003904,1,0
0.000009634,0,0
0.000009786,0,1
0.000015514,0,0
0.000015664,1,0
0.000021394,0,0
0.000021546,0,1
0.000027276,0,0
0.000027424,1,0
0.000033154,0,0
0.000033306,0,1
0.000039036,0,0
0.000039184,1,0
0.000044914,0,0
0.000045066,0,1
0.000050796,0,0
0.000050944,1,0
0.000056674,0,0
0.000056826,0,1
0.000062556,0,0
0.000062704,1,0
0.000068434,0,0
0.000068586,0,1
0.000074316,0,0
0.000074466,1,0
0.000080194,0,0
0.000080346,0,1
0.000086076,0,0
0.000086226,1,0
0.000091956,0,0
0.000092108,0,1
0.000097836,0,0
0.000097986,1,0
0.000103716,0,0
0.000103868,0,1
0.000109598,0,0
0.000109746,1,0
0.000115476,0,0
0.000115628,0,1
0.000121358,0,0
0.000121506,1,0
0.000127236,0,0
0.000127388,0,1
0.000133118,0,0
0.000133266,1,0
0.000138996,0,0
0.000139148,0,1
0.000144878,0,0
0.000145026,1,0
0.000150756,0,0
0.000150908,0,1
0.000156638,0,0
0.000156788,1,0
0.000162518,0,0
0.000162670,0,1
0.000168398,0,0
0.000168548,1,0
0.000174278,0,0
0.000174430,0,1
0.000180158,0,0
0.000180308,1,0
0.000186038,0,0
0.000186190,0,1
0.000191920,0,0
0.000192068,1,0
0.000197798,0,0
0.000197950,0,1
0.000203680,0,0
0.000203828,1,0
0.000209558,0,0
0.000209710,0,1
0.000215440,0,0
0.000215590,1,0
0.000221318,0,0
0.000221470,0,1
0.000227200,0,0
0.000227348,1,0
0.000233078,0,0
0.000233230,0,1
0.000238960,0,0
0.000239110,1,0
0.000244838,0,0
0.000244990,0,1
0.000250720,0,0
0.000250870,1,0
0.000256598,0,0
0.000256750,0,1
0.000262480,0,0
0.000262630,1,0
0.000268360,0,0
0.000268512,0,1
0.000274242,0,0
0.000274390,1,0
0.000280120,0,0
0.000280272,0,1
0.000286002,0,0
0.000286150,1,0
0.000291880,0,0
0.000292032,0,1
0.000297762,0,0
0.000297910,1,0
0.000303640,0,0
0.000303792,0,1
0.000309522,0,0
0.000309672,1,0
0.000315402,0,0
0.000315552,0,1
0.000321282,0,0
0.000321432,1,0
0.000327162,0,0
0.000327314,0,1
0.000333042,0,0
0.000333192,1,0
0.000338922,0,0
0.000339074,0,1
0.000344802,0,0
0.000344952,1,0
0.000350682,0,0
0.000350834,0,1
0.000356564,0,0
0.000356712,1,0
0.000362442,0,0
0.000362594,0,1
0.000368324,0,0
0.000368472,1,0
0.000374202,0,0
0.000374354,0,1
0.000380084,0,0
0.000380232,1,0
