Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,1,0,1
0.000003130,0,0,0,0
0.000003230,1,0,1,0
0.000009008,1,0,0,0
0.000009010,0,0,0,0
0.000009110,0,1,0,1
0.000014890,0,0,0,0
0.000014990,1,0,1,0
0.000020770,0,0,0,0
0.000020870,0,1,0,0
0.000020872,0,1,0,1
0.000026650,0,0,0,0
0.000026750,1,0,1,0
0.000032530,0,0,0,0
0.000032630,0,1,0,0
0.000032632,0,1,0,1
0.000038410,0,0,0,0
0.000038510,1,0,1,0
0.000044290,0,0,0,0
0.000044390,0,1,0,0
0.000044392,0,1,0,1
0.000050170,0,0,0,0
0.000050270,1,0,1,0
0.000056050,0,0,0,0
0.000056150,0,1,0,0
0.000056152,0,1,0,1
0.000061930,0,0,0,1
0.000061932,0,0,0,0
0.000062030,1,0,1,0
0.000067810,0,0,0,0
0.000067912,0,1,0,1
0.000073690,0,0,0,1
0.000073692,0,0,0,0
0.000073790,1,0,1,0
0.000079570,0,0,0,0
0.000079672,0,1,0,1
0.000085450,0,0,0,1
0.000085452,0,0,0,0
0.000085550,0,0,1,0
0.000085552,1,0,1,0
0.000091330,1,0,0,0
0.000091332,0,0,0,0
0.000091432,0,1,0,1
0.000097212,0,0,0,0
0.000097312,1,0,1,0
0.000103090,1,0,0,0
0.000103092,0,0,0,0
0.000103192,0,1,0,1
0.000108972,0,0,0,0
0.000109072,1,0,1,0
0.000114852,0,0,0,0
0.000114952,0,1,0,0
0.000114954,0,1,0,1
0.000120732,0,0,0,0
0.000120832,1,0,1,0
0.000126612,0,0,0,0
0.000126714,0,1,0,1
0.000132492,0,0,0,1
0.000132494,0,0,0,0
0.000132592,1,0,1,0
0.000138372,0,0,0,0
0.000138474,0,1,0,1
0.000144252,0,0,0,1
0.000144254,0,0,0,0
0.000144352,0,0,1,0
0.000144354,1,0,1,0
0.000150132,0,0,0,0
0.000150234,0,1,0,1
0.000156012,0,0,0,1
0.000156014,0,0,0,0
0.000156112,0,0,1,0
0.000156114,1,0,1,0
0.000161892,1,0,0,0
0.000161894,0,0,0,0
0.000161994,0,1,0,1
0.000167774,0,0,0,0
0.000167874,1,0,1,0
0.000173652,1,0,0,0
0.000173654,0,0,0,0
0.000173754,0,1,0,1
0.000179534,0,0,0,0
0.000179634,1,0,1,0
0.000185414,0,0,0,0
0.000185514,0,1,0,0
0.000185516,0,1,0,1
0.000191294,0,0,0,0
0.000191394,1,0,1,0
0.000197174,0,0,0,0
0.000197274,0,1,0,0
0.000197276,0,1,0,1
0.000203054,0,0,0,0
0.000203154,1,0,1,0
0.000208934,0,0,0,0
0.000209036,0,1,0,1
0.000214814,0,0,0,1
0.000214816,0,0,0,0
0.000214914,1,0,1,0
0.000220694,0,0,0,0
0.000220796,0,1,0,1
0.000226574,0,0,0,1
0.000226576,0,0,0,0
0.000226674,0,0,1,0
0.000226676,1,0,1,0
0.000232454,0,0,0,0
0.000232556,0,1,0,1
0.000238336,0,0,0,0
0.000238434,0,0,1,0
0.000238436,1,0,1,0
0.000244214,1,0,0,0
0.000244216,0,0,0,0
0.000244316,0,1,0,1
0.000250096,0,0,0,0
0.000250194,0,0,1,0
0.000250196,1,0,1,0
0.000255974,1,0,0,0
0.000255976,0,0,0,0
0.000256076,0,1,0,1
0.000261856,0,0,0,0
0.000261956,1,0,1,0
0.000267736,0,0,0,0
0.000267836,0,1,0,1
0.000273616,0,0,0,0
0.000273716,1,0,1,0
0.000279496,0,0,0,0
0.000279598,0,1,0,1
0.000285376,0,0,0,1
0.000285378,0,0,0,0
0.000285476,0,0,1,0
0.000285478,1,0,1,0
